[0, 0, -2, -5, -3, 4, 18, 5]
[-3, -1, -5, -14, -8, -4, -1, 2]
[5, 3, 19, 2, -1, -2, -22, -4]
[1, -1, -3, -2, -8, -5, -6, -2]
[0, 4, 7, -1, -2, 1, 14, 4]
[0, -2, -6, -13, 2, 5, 21, 4]
[0, -1, -2, -10, -3, 6, 23, 8]
[0, 0, 0, -27, -2, 0, -1, 0]
[0, -3, -11, -6, 3, -2, 1, -1]
[-4, -1, -7, -3, -5, -4, -10, -2]
[-4, -2, -7, -3, -4, -5, -34, -7]
[2, 0, -3, -7, -2, -4, -33, -4]
[3, 1, -2, -2, -3, 0, 17, 2]
[-4, -3, 7, 12, 3, 0, -12, -5]
[-1, -3, -4, -5, -2, -1, 4, 1]
[2, 2, 0, 6, 2, 6, 44, 9]
[1, 2, 5, 13, 6, 5, 39, 6]
[-1, 0, 2, 14, 12, 5, 0, 0]
[5, 4, -1, -11, -5, 4, 49, 10]
[-3, -1, 5, 4, -4, 0, 5, -2]
[-3, -2, -7, -27, -9, -16, -66, -14]
[-3, -4, -5, -29, -15, -7, -29, -8]
[7, 5, 0, -18, 1, 10, 87, 16]
[-1, 4, -7, -3, -13, -5, -30, -3]
[2, 0, 1, 6, -4, -2, -5, -3]
[-1, -1, -1, -6, -7, -18, -22, -2]
[-2, 3, 3, 28, 12, 3, 37, 6]
[-5, -6, -7, -18, 13, 1, -18, -5]
[1, 1, -1, -7, -7, -2, -10, -3]
[0, 5, -1, 11, 0, 3, -2, -3]
[0, -7, -15, -2, 5, -2, 12, 7]
[-11, 2, 21, 7, 1, -5, -14, -2]
[-14, -10, -16, 5, 3, 4, 13, 3]
[3, -1, -6, -13, -11, -1, -5, 1]
[6, 1, 14, 22, 3, -2, -19, -4]
[4, 1, 3, -10, -3, 0, -35, -2]
[0, 0, 1, 10, 3, 5, 25, 4]
[6, -1, 1, -1, 5, -2, -21, -4]
[-1, -2, -5, 2, 5, -1, 4, -4]
[-2, 0, -1, 0, -1, -3, -7, -4]
[0, 0, 8, 6, -1, -6, -32, -5]
[-2, -2, -7, -12, -6, -2, -14, -4]
[1, -1, 5, -2, -5, -5, -27, -5]
[1, -2, -4, -3, 3, 2, 22, 3]
[1, 0, 0, -3, 0, -2, -7, -3]
[-1, 0, 4, 4, 9, 7, 24, 7]
[0, 2, 0, 4, -2, 0, -1, -18]
[0, -1, -5, -2, -10, -3, -17, 2]
[-3, 3, 18, -11, -3, 0, 0, -3]
[1, 2, -4, -21, -5, -2, 4, 0]
[-3, -1, -11, -7, -5, -4, -3, -1]
[1, 0, -3, 7, 3, 3, 5, 1]
[0, -2, -3, 8, 8, 4, 14, 3]
[-5, -5, -1, -15, -8, -3, 15, 0]
[1, -1, -6, 12, 4, 0, 0, -3]
[-1, 1, -6, -19, -8, -7, -34, -5]
[-1, 0, 6, 6, 1, 2, 6, 1]
[3, -3, -3, -1, 4, 9, 84, 15]
[-8, -3, -3, 18, 8, 1, -26, -3]
[5, 0, -1, 5, 5, 12, 50, 10]
[0, -1, -7, -21, 1, -1, 5, 3]
[-4, 1, 5, 17, 3, -4, -30, -13]
[2, -4, -4, -13, -1, 4, 3, 2]
[2, 6, 23, -6, -5, -4, 8, 0]
[-2, -3, -5, 7, 2, 0, -1, -1]
[-7, -4, -9, -1, 1, 1, 27, 4]
[1, -2, -6, 9, 3, 1, 7, 2]
[-3, -6, -16, 11, 3, -1, -16, -11]
[-1, -1, 7, 27, 4, -3, -35, -7]
[0, -1, -7, -1, -2, -3, -13, -1]
[1, 1, -1, 8, 3, 4, 24, 2]
[1, -3, -16, -24, -10, -2, 5, 1]
[-2, -2, 2, -3, 0, -3, -23, 6]
[-1, -3, 6, 44, 20, 8, 44, 10]
[-2, -2, -3, -77, -29, -11, -28, -14]
[-8, 3, 0, 56, -1, 0, -2, -1]
[3, 3, 0, -86, -22, -5, -12, -7]
[0, 3, 2, 11, 7, 12, 44, 6]
[2, -2, 8, 5, -1, -8, -19, -12]
[4, -2, -8, 17, 2, 3, 36, 11]
[2, -9, 3, 1, 1, 2, -16, -6]
[0, -7, -20, -25, -9, -9, -7, -8]
[-9, -2, 5, 12, 4, -3, -38, -7]
[0, -1, 2, 20, 5, 5, 49, 24]
[2, 0, -11, 16, 5, -1, -39, -13]
[2, 2, -5, -17, -8, -6, -34, -3]
[-8, -5, 1, -1, 0, -5, -17, -8]
[5, 2, 2, -16, -12, -2, 3, -4]
[1, 2, -6, -12, -7, -3, -19, -3]
[1, -1, 2, -3, 3, -3, -9, -3]
[0, -3, -8, 2, 9, 5, 14, 4]
[-1, 0, 7, 6, 6, -1, -12, -2]
[3, 3, 14, -4, -5, 0, 2, 5]
[3, -3, -11, -25, -3, -2, 2, 4]
[-2, -2, -6, -7, -6, -7, -33, -7]
[-1, -5, -18, -5, -6, -7, -30, -6]
[3, 11, 20, 17, 9, 7, 25, 7]
[-2, -1, 3, 30, 8, -2, -7, -4]
[3, 2, 12, 56, 14, 2, 11, 3]
[-6, -2, 3, -13, -4, -2, -23, -7]
[-3, -3, -4, 4, 5, -2, -9, -5]
[5, 0, -7, -28, -11, -2, -2, -3]
[-2, -1, 0, -12, -4, 5, 29, 8]
[0, -1, -5, -10, 1, 4, 39, 6]
[2, 2, -3, -4, -4, 3, 35, 9]
[-5, 2, 14, 7, -1, -3, -10, -4]
[4, -2, -8, -10, -5, -2, -5, 0]
[1, -1, 7, 49, 10, 5, 17, 2]
[-2, 0, -6, -23, -9, -6, -43, -10]
[3, 0, 1, -14, -2, 2, 42, 7]
[-1, 1, -5, 0, 1, 0, -14, -2]
[-7, -4, 5, 19, -3, 3, 32, 6]
[-3, -4, -1, 7, 2, 3, 1, 1]
[-2, -3, -7, 8, -2, -5, 4, -2]
[-1, 0, 10, -20, -8, -1, 9, 2]
[-2, -4, -6, 12, 2, 2, 38, 7]
[3, 1, 0, -33, -9, -6, -29, -7]
[-1, -2, 1, 25, 18, 7, 21, 5]
[2, 4, 4, -10, -10, -13, -52, -10]
[1, -1, 6, 6, 7, 0, -28, -7]
[-8, -9, 2, 50, 20, -2, -2, 2]
[-4, -8, -6, 10, 3, -2, 6, -1]
[0, -11, -2, -72, -33, -8, 2, -1]
[2, -2, -2, -17, -12, -3, 19, 5]
[-1, 4, -12, -38, -15, -1, -12, -5]
[3, 4, -3, 12, 8, 2, -1, 2]
[-3, -4, 20, -2, 2, 5, 26, 6]
[-1, 0, -4, -18, -8, -13, -84, -11]
[1, -3, -8, -12, 0, 8, 36, 16]
[-6, -1, 2, -43, -14, -4, -14, 0]
[-13, -3, -14, -23, -12, 0, 7, 0]
[5, 3, 15, 1, 4, 6, 20, 13]
[2, 2, 0, -30, -17, -3, 13, 10]
[3, 2, 1, -1, -4, -6, -9, -5]
[-1, -3, 2, 10, 3, -3, -14, -8]
[-3, -4, -12, -18, -6, -4, 14, -4]
[6, 3, 3, 21, 7, -3, -26, -4]
[0, 1, 4, 0, 2, 7, 32, 7]
[2, 1, -1, 10, 0, -1, -13, -4]
[3, 2, 8, 66, 7, 0, -6, -3]
[2, 2, -1, -17, -11, 1, 26, 4]
[2, 0, 4, -2, 1, 1, 0, 2]
[-3, -1, -8, -12, -4, -5, -19, -5]
[-2, 3, 3, -11, -4, -3, -6, -2]
[-1, 1, 9, 10, 0, -1, 7, 1]
[-6, -1, -1, -3, -7, -5, -9, -2]
[-4, -2, -1, -23, -8, -3, -15, -4]
[-2, -2, -9, -5, -3, -1, 3, 0]
[4, -1, -2, 4, 6, 1, -6, -1]
[-2, -2, -1, -18, -10, -6, -11, -1]
[-5, -5, -5, -2, -3, 1, -3, -2]
[1, -1, 1, 5, 7, 1, -14, -6]
[2, 3, 0, -6, 0, 0, 3, 0]
[-1, -2, 0, -2, -1, -1, -14, -5]
[4, 1, 6, -2, -1, -1, -16, -1]
[-1, 0, 0, 1, -3, -7, -48, -9]
[5, 1, -3, 2, 2, -2, -16, -1]
[-4, -4, -10, -20, -7, 0, 0, 1]
[-1, 2, 8, 11, 3, -2, -24, -4]
[-5, -1, -8, -4, 2, 7, 51, 9]
[-2, -1, 2, 17, 1, -5, -16, -6]
[2, 2, -2, 7, -3, -2, -9, 2]
[1, 1, 11, 8, 5, -5, -40, -8]
[-3, -3, -6, -1, -1, 5, 28, 4]
[0, -1, 7, -13, -18, -9, -14, -6]
[3, -3, -1, -9, 22, 9, 23, -3]
[-8, -6, 1, -22, -3, -5, -15, -5]
[1, -2, -7, 6, 1, 3, -4, 1]
[-1, -2, 12, 28, 16, 3, 25, 6]
[0, -4, 11, 6, -6, -6, -34, -8]
[4, 7, -11, -6, -13, -4, -6, -1]
[5, -1, -25, -9, -1, -2, -27, -4]
[5, 2, -5, 8, 2, 7, 43, 17]
[4, 4, 9, 14, 1, -5, -3, 0]
[-8, -2, -12, 63, 17, -6, -86, -19]
[-3, -1, -4, -4, 0, 0, -6, -15]
[-3, 6, 5, -3, -1, -1, -7, 0]
[0, -6, -13, -10, -4, 0, 9, 4]
[10, 2, -2, 29, 4, -3, 0, -2]
[-6, 0, -6, -19, -9, 1, 17, 3]
[7, 1, -6, -2, 3, 6, 37, 9]
[5, 3, -3, -4, -2, -6, -17, -5]
[-11, -5, -14, -4, -3, -3, -30, -9]
[4, 0, -12, -3, 2, 4, 18, 2]
[-8, 1, -6, 9, 4, -1, -11, -11]
[3, 4, 10, -10, -1, -1, -3, 1]
[-5, -2, 9, 1, -2, -3, -11, -2]
[4, 1, 5, 10, 7, 4, 3, 2]
[1, 0, -8, -1, -3, -2, 22, 1]
[-9, -5, -8, -15, -12, -5, 1, -2]
[0, -1, 1, 11, 3, 2, 15, 3]
