[5, -12, 57, 25, 2, -1, 55, -4]
[-4, 6, 21, 4, -3, -4, 44, -7]
[-9, -13, -99, -21, 0, 1, -53, -20]
[3, -10, -60, 6, 8, 1, -37, -11]
[7, 26, 30, 6, 4, 8, 65, -22]
[5, -2, 49, 11, 14, 9, 0, 5]
[-2, -40, -27, 0, 2, 3, -18, 19]
[4, -2, -29, 5, -2, -1, -18, -6]
[-1, 13, 3, 9, -2, -3, -3, 3]
[4, -18, -79, -12, -3, -2, -23, -6]
[-15, -39, -48, -25, -15, -7, -4, -18]
[5, 67, 70, 12, 4, 1, -19, 7]
[2, 13, 3, 11, -1, -2, 15, -8]
[0, 6, 33, 17, 4, 0, -30, -1]
[-8, -7, -26, -9, -3, 0, -9, -2]
[-6, -53, -24, 6, 4, 3, 34, 12]
[5, 20, 48, 9, 0, 2, 19, -15]
[-5, -9, 41, -1, -2, -4, -57, 16]
[-1, 26, 62, 17, -1, -3, -60, -16]
[11, 28, -9, -1, 3, 5, 14, -3]
[7, 52, 25, 12, -3, -7, 16, 29]
[18, 14, 80, 18, 3, 6, -24, 9]
[0, -15, -44, -11, 4, 2, 79, 13]
[2, 58, -41, 11, 2, -5, -12, 4]
[-11, -66, 6, -3, -6, -5, 0, 8]
[3, -29, -13, -3, 5, 0, -17, 4]
[8, -10, 33, 5, -1, 3, 16, 3]
[1, 24, 127, 22, -2, -4, -12, -5]
[0, 55, -67, -36, -5, -9, 14, -2]
[16, 4, -51, 12, 4, 5, -30, 80]
[-2, 28, 16, 6, 0, 2, -1, -4]
[-17, -47, -27, -1, -11, -10, 4, -24]
[8, -13, -4, 23, 3, 6, 3, 2]
[-6, 29, 23, -24, -2, -8, -64, 7]
[-8, -72, -45, -14, -2, -1, 45, -18]
[6, 36, 4, -7, 4, 3, 7, -6]
[-4, -47, -42, -20, -7, -9, -4, 9]
[5, 28, -35, -25, -2, -2, 17, -8]
[1, 13, 31, 15, -4, -10, -47, -19]
[3, 38, -19, 16, 2, 0, 3, -9]
[-2, -43, -33, 0, 1, 2, -15, 3]
[-5, -26, -107, -39, -2, -3, -1, -4]
[4, 14, 87, 7, -1, -3, 18, -14]
[-15, -58, -116, -14, -4, -2, 7, 2]
[-4, 82, 62, 6, -7, -11, -51, -14]
[-2, -36, -115, -31, -7, -8, -24, -14]
[-5, 28, -90, -6, 0, 1, -13, 0]
[-3, -9, -9, -2, 5, 7, 6, 8]
[-9, 2, 99, -2, 1, 1, -2, -7]
[7, -54, 107, 31, 8, 3, 1, 1]
[-4, 14, 52, 7, -5, 1, 2, -1]
[-12, -78, 5, -2, 0, -2, 29, -9]
[13, 9, 89, 9, -3, -4, -41, 35]
[0, 9, -38, 2, -1, -14, -35, 39]
[0, 13, -33, -6, 4, 2, 8, 4]
[3, -58, -77, -3, 3, 1, -1, 1]
[5, 15, 29, -8, -7, -7, 5, 5]
[-16, -11, -90, -7, -6, -5, -13, 34]
[5, 20, 95, 32, 2, 3, 5, 10]
[2, 53, 11, 16, 3, -1, -10, 13]
[15, 59, -16, -11, -4, -2, -37, 40]
[-3, -6, -79, -25, 5, 2, 24, 5]
[-6, 18, 105, 28, 3, 2, -9, -39]
[-4, -7, -97, -7, 7, 5, 10, -20]
[-12, 68, -13, -12, -2, 1, 81, 11]
[0, 0, -25, -8, -8, -8, -1, 16]
[6, 18, 26, 22, -1, -2, -21, -4]
[3, 11, 109, 12, -2, 5, 4, -6]
[-113, -111, 127, 127, 33, 113, -122, -74]
[123, 66, -128, -105, -34, -128, 73, -8]
[26, -98, -21, -128, 15, 31, 63, 0]
[-34, -24, -33, -64, -1, 11, -26, 4]
[-35, 9, 46, 83, 11, 1, -42, 5]
[-54, -66, 112, 100, -1, 11, -51, -10]
[-18, 24, 19, 71, -7, 6, -27, -32]
[-5, 32, 56, 41, -1, 6, -7, -41]
[6, 12, -3, -60, -7, -5, 15, -57]
[13, 42, 56, -50, 0, -3, -14, -64]
[10, -79, -57, -36, 7, 1, -7, -66]
[29, 56, -6, -14, 7, -1, 20, -71]
[8, -70, -77, -4, -2, 10, -4, -72]
[5, 5, -71, -70, -4, 0, 8, -73]
[-10, -57, -85, -30, -15, -6, 68, -73]
[13, 4, -34, -18, 4, -2, 25, -73]
[0, -22, 16, 0, 2, -2, -12, -74]
[1, 9, 84, 27, 11, 7, -14, -76]
[-2, 2, -53, -8, -1, -10, -28, -77]
[-2, 37, 80, -8, -7, -10, -1, -78]
[-8, 11, -48, -18, -7, -12, -6, -80]
[-18, -33, -108, -51, -12, -2, -25, -81]
[0, -59, -21, 15, 5, 2, -14, -82]
[-9, -5, -22, 3, -6, -9, -7, -84]
[3, 4, -24, -19, -3, 2, 3, -86]
[-7, -47, 2, 15, 2, 1, -33, -87]
[8, 78, 8, 13, -1, 3, 20, -88]
[-9, -16, -49, -5, -2, -6, -20, -89]
[-1, -70, 104, 8, -3, 0, 122, -90]
[10, -10, 42, 14, 6, 3, 7, -90]
[-9, -57, 51, 15, 1, 4, -12, -92]
[1, -77, -65, -67, -8, -2, 104, -94]
[123, -41, -94, -109, -95, -117, 104, 80]
[-113, 17, 77, 92, 101, 127, -104, 13]
[-111, 90, 51, 32, -26, -60, -128, -53]
[-75, 127, 101, 12, -31, -38, -119, -68]
[-18, 97, 83, 16, -11, -6, -38, -88]
[63, -60, -35, 10, 9, 7, 69, -66]
[49, -115, -17, 3, 1, -7, 30, -19]
[39, 12, 6, 3, 10, 6, 53, -4]
[1, -21, -3, 0, 4, -2, -13, 19]
[-20, -53, -2, 2, 5, 4, 12, 41]
[-37, -5, 7, 1, 3, 8, -36, 55]
