[-10, -3, -17, -37, -11, -5, -4, 0]
[4, 3, -26, 60, -5, 13, 15, 1]
[-13, -19, -85, -60, -52, -18, 28, -10]
[127, 8, 3, 56, -26, -35, 4, 20]
[-15, -4, -18, 3, 6, 15, 25, 3]
[48, 7, -33, -45, -22, -25, -23, 4]
[25, -6, 53, 7, 66, 50, 24, 7]
[-21, -15, -63, 28, -85, -42, -11, 1]
[-15, 2, -23, -40, 17, 4, -17, -2]
[-35, 5, -10, -45, -14, -13, -28, -7]
[-37, 0, -31, -11, -14, -15, -22, -7]
[-6, -2, 7, 32, 31, 0, -25, -5]
[-18, -19, -38, -23, 2, 0, -6, -3]
[2, -3, -24, -37, -3, 1, 3, 3]
[-13, -5, -15, -11, 3, -8, -19, -5]
[-3, -3, 8, 12, 2, 1, -5, -1]
[4, 3, -15, -3, -2, 1, 7, 0]
[3, -2, -4, 17, -12, -4, -3, -2]
[-3, -7, -8, 4, -3, 10, 18, 0]
[-3, 6, -3, -18, -1, 1, 2, -1]
[-4, 2, -15, -18, -15, -12, -1, 4]
[7, 7, -16, 13, 13, 16, 15, 1]
[-12, -6, 17, -18, -12, -7, -14, -4]
[-3, -6, 22, -6, -9, -9, -14, -2]
[-9, -8, -37, 34, -17, -19, -14, -5]
[7, 6, -13, 21, 13, 17, 21, 4]
[-6, 11, -26, 3, 1, 8, 9, 1]
[7, 3, 46, 13, 3, -2, 4, 2]
[9, 12, 29, 2, 6, 11, 13, 3]
[7, 4, 9, -10, 10, 8, 4, 1]
[-8, 2, -19, -15, -21, -10, -13, -2]
[16, 1, 9, 10, 19, 20, 21, 1]
[4, 3, 2, 29, 3, 8, 6, 0]
[-3, 0, -24, -43, -3, -10, -9, -2]
[6, -1, -13, 5, 10, 14, 16, 0]
[6, 6, 18, 17, 22, 18, 16, 4]
[-10, -3, -19, 3, -19, -18, -16, -4]
[7, -1, 8, 7, 10, 10, 13, 2]
[4, 0, 20, 18, 12, 12, 12, -1]
[5, 0, 4, -11, 14, 13, 15, 2]
[3, -2, 24, 5, 18, 19, 15, 3]
[6, -3, 43, 15, 10, 15, 16, 3]
[-7, -4, -17, -18, -11, -11, -11, 0]
[6, -4, -24, -22, 8, 10, 9, 1]
[12, 5, 15, 20, 5, 20, 16, -1]
[13, 3, 12, -2, 4, 11, 22, 4]
[-1, -9, -17, 7, 21, 5, 1, -3]
[0, 14, 0, 0, 22, 2, 3, 3]
[50, 9, 3, -54, -16, -16, 7, 16]
[-3, -2, 6, -14, 28, 39, 43, -5]
[-20, 4, -5, -65, 16, 1, 10, 6]
[-61, -16, -9, 41, -2, -1, -12, -10]
[-62, -7, -37, -21, -13, -1, 8, -6]
[28, 0, -1, -45, -20, -5, 27, 15]
[-18, -12, 19, 14, 23, 12, 16, -5]
[21, -7, 47, 32, 36, 40, 36, 15]
[-21, 0, 8, -6, 6, 3, 2, -3]
[-37, 5, -16, -4, -15, -11, 4, -1]
[-13, -2, -7, -14, -13, 3, -6, -2]
[-2, -5, 2, 4, 4, -5, -6, 2]
[-17, -2, -11, -3, -10, 10, -1, -4]
[-13, -6, 0, -19, -2, 0, 13, -1]
[-10, 7, 5, 3, 0, -1, -4, 1]
