[0, 36, -12, -4, -1, -1, 1, -21]
[-2, -41, -15, -3, -3, -4, -2, -24]
[-2, -7, 2, -2, -4, -1, -1, -22]
[1, -72, 4, -1, -4, -5, -1, -22]
[-1, -45, 11, -5, -2, 0, -2, -22]
[-3, 11, -8, -1, -6, -2, -1, -24]
[-1, 54, -5, -5, -8, -1, -1, -24]
[0, -25, -5, 0, 0, -1, 0, -23]
[-1, 38, -1, -6, 0, -1, -1, -23]
[-3, -5, -3, 5, 2, 1, 1, -23]
[-3, 31, -6, 0, -3, -1, -1, -23]
[-1, -75, -10, -2, 4, -1, -1, -24]
[1, 7, 3, -1, -2, 0, -1, -23]
[1, 16, 1, 3, 0, 1, 1, -22]
[-2, 47, 8, -3, -5, -3, -1, -22]
[0, 26, -13, 0, 0, 0, -1, -22]
[-1, 62, 9, 4, -6, 0, 1, -24]
[-1, 26, 0, -1, 3, -1, 0, -23]
[0, 47, -6, 0, 0, 0, -1, -23]
[-3, 85, 11, 4, 3, -1, 0, -22]
[-1, -48, -5, -3, -6, 0, -1, -23]
[-2, 5, -2, -4, -8, -1, 1, -24]
[-1, -30, -18, 0, -4, -1, -2, -22]
[0, 10, 1, 1, 3, -1, -1, -22]
[0, 56, -1, 2, 1, 0, 1, -24]
[0, 1, -7, -2, -4, -1, 0, -23]
[1, -20, -1, 0, 7, 0, 0, -24]
[-1, 31, 4, 0, 1, 1, -2, -23]
[-2, 39, -2, 1, -6, -2, 2, -24]
[-1, -96, 1, -2, -3, 3, 0, -24]
[-1, 24, 5, -2, 6, 3, -1, -23]
[-1, 35, 13, 4, -3, -2, -1, -23]
[-1, -1, 2, -2, 2, 2, -2, -23]
[-1, -34, -5, -5, -4, -1, -1, -23]
[-2, -84, -1, -3, 1, -3, 0, -23]
[0, -90, 0, 1, -2, -2, -2, -23]
[-2, 15, -2, 3, 3, 0, 0, -24]
[-1, 51, -5, -1, -3, 0, -1, -22]
[0, -7, -3, -4, 1, -1, 0, -22]
[-2, 10, 5, 1, -2, 0, 0, -23]
[1, 7, 8, 2, 1, 1, -1, -24]
[2, -49, 5, -3, -4, -3, -4, -23]
[-1, 62, -2, 0, -4, 1, 1, -23]
[1, 43, 4, 2, 4, -1, -2, -22]
[0, -94, -24, -5, -1, 0, -2, -24]
[-1, 54, 2, -2, 2, 2, 1, -22]
[1, -68, -18, -2, 3, 1, -1, -23]
[0, 80, 6, 0, -7, 0, 1, -24]
[0, -48, 4, -1, 2, -1, -2, -23]
[-2, 26, 0, 2, -3, -2, 1, -24]
[-2, 20, 0, 2, -1, 0, 0, -24]
[-1, 31, 3, -1, 1, -2, -1, -23]
[0, 68, 0, 5, -1, 0, 0, -22]
[-3, 40, -6, 0, 4, 0, -1, -23]
[-2, 86, 1, 2, 2, 2, 0, -23]
[1, -65, -2, -3, -3, 0, 0, -22]
[1, -8, 6, -3, -2, -1, -3, -21]
[1, -35, 6, -3, -5, -1, -1, -24]
[-1, 16, -9, -2, -3, 0, -1, -23]
[0, 30, -3, 2, 3, 0, 0, -23]
[-2, 11, -3, -2, -3, -1, 0, -24]
[-2, 19, 3, -1, -1, 1, 2, -22]
[-2, 13, -5, -1, -2, -3, -2, -24]
[2, -93, 6, -3, 3, -2, -1, -22]
[2, 22, 7, 1, -2, -2, 0, -23]
[-1, -25, 5, -1, -3, -2, -2, -23]
[0, -75, -2, 0, -1, 0, -1, -24]
[0, 32, 5, -2, -2, -1, 0, -23]
[3, -117, 2, -4, -3, 0, -3, -23]
[1, -48, 3, 1, 0, -1, 0, -24]
[-1, 29, 0, 0, 0, -2, 0, -23]
[-1, 7, -14, 1, -3, -1, -1, -23]
[0, -30, 6, 0, -2, 0, 1, -25]
[-2, 24, -4, -3, -1, 0, 0, -23]
[1, -1, 11, 0, 0, -1, -2, -21]
[0, -9, -18, -3, -1, -1, -1, -22]
[0, 43, 4, -1, 0, 0, 0, -22]
[1, -55, 3, -2, 0, 0, -1, -22]
[1, 33, -9, 0, -2, -2, 0, -23]
[-2, 5, -1, 1, -3, 0, 0, -23]
[-1, 36, -8, -1, -1, -1, 0, -23]
[-2, 6, 3, -2, -1, -1, -2, -23]
[0, -104, 4, 0, 1, 0, -1, -23]
[-1, -30, 8, -2, 2, 0, -1, -22]
[2, -48, 3, -1, -1, 1, -1, -23]
[-1, 11, -2, 0, -1, 0, 1, -23]
[0, 6, 4, 3, -1, 1, 1, -23]
[-1, 67, 1, -3, -2, -2, -2, -23]
[0, 21, -10, 3, 4, 0, 0, -23]
[0, 25, 2, -3, -5, 0, 0, -24]
[0, -5, -1, 0, -1, 0, -2, -22]
[2, -20, -3, -2, -2, -2, -2, -23]
[-2, -2, -1, -1, -1, 0, -2, -23]
[-2, 22, -2, -3, -2, 1, -1, -22]
[-3, 3, -3, 1, 0, -2, -1, -24]
[-1, 67, -4, 0, -3, -1, 1, -23]
[-1, 42, 1, -2, -3, -1, -1, -23]
[0, -70, 6, -1, 2, 0, 0, -23]
[-1, 4, -5, 0, -1, -1, -2, -23]
[-1, -68, 7, 1, 4, 0, 0, -22]
[-1, 89, 4, 3, 1, 0, 1, -23]
[0, -24, 4, -2, -1, 0, -1, -23]
[-1, -25, -3, 0, -1, 0, 0, -24]
[0, -44, -4, -5, -2, -1, 1, -23]
[-1, 87, 4, -1, -4, -3, -2, -22]
[1, 75, -5, 1, -3, -2, 0, -23]
[-1, 26, 6, 0, 0, 1, -1, -24]
[0, -37, -1, -2, 2, 0, -1, -21]
[1, -42, 4, -1, 2, -3, -2, -21]
[-1, 30, -11, -3, 0, -1, -1, -24]
[-4, 97, -3, 0, -6, 0, 0, -24]
[0, -19, 3, -2, 0, -1, 0, -24]
[-3, 119, -2, 4, 1, 0, 1, -22]
[-1, 31, 6, 0, 0, -1, -1, -23]
[0, -87, 2, -4, 0, -4, -1, -24]
[0, -42, -9, -1, 2, 0, -1, -24]
[-2, -12, -3, -3, -4, -2, -1, -24]
[-2, -35, -24, -2, -1, -2, -1, -22]
[1, -79, -20, -4, 0, -3, -3, -23]
[-3, 23, -1, 3, -3, 1, 2, -23]
[-1, -13, 2, -6, 1, -1, -3, -23]
[0, -21, -9, -4, -2, -2, -1, -23]
[-1, 42, -4, 0, -5, -2, -1, -22]
[2, 44, 14, -1, -1, -2, -1, -22]
[0, -2, 2, -3, -3, -2, -3, -22]
[-1, 2, -7, 0, -1, 0, 2, -24]
[-3, -11, -7, 1, 1, -1, 1, -25]
[-1, 31, 4, 0, -4, -2, -1, -23]
[0, 10, 0, 1, 0, -1, -1, -22]
[0, -52, 2, -1, -2, -1, -2, -23]
[-1, 0, -1, -1, -1, -1, 0, -22]
[0, 17, 7, -2, -1, 0, -1, -22]
[-1, -22, -2, 0, -1, 0, -1, -23]
[1, -9, -2, -2, 2, -1, 0, -24]
[1, -39, 6, 1, -3, -1, -2, -23]
[-1, 36, -3, 1, -2, 2, 0, -23]
[-2, 56, 12, 0, -2, 0, 1, -22]
[-1, 77, -4, -1, -8, -2, -2, -24]
[-1, -24, -5, -2, 0, -2, -2, -23]
[0, -11, 0, 2, 3, 0, 0, -22]
[-1, -4, -2, -3, 2, -1, 1, -23]
[1, 7, 2, 2, -1, 0, 0, -22]
[-1, 30, -2, 2, 2, 2, 0, -23]
[1, -18, 7, 1, 1, 0, -2, -23]
[-1, -27, -1, -3, -4, -2, -2, -23]
[-3, 44, -2, -1, -1, -1, -1, -22]
[1, -61, 2, 0, 1, -3, -1, -24]
[-1, 21, 0, 1, 2, 0, 1, -22]
[-2, 26, -3, 3, 1, 0, 1, -24]
[-2, -19, -9, -1, -5, -1, 0, -24]
[0, 28, -3, -2, 2, 0, 0, -22]
[-1, -31, -11, 1, 0, -1, -2, -25]
