[10, 15, 10, 18, 22, 12, 7, 5]
[12, 5, -34, -65, -3, 8, 2, 3]
[26, 14, 60, -10, 29, 7, 3, 2]
[0, 4, 23, -18, 3, 8, 4, -12]
[7, 12, -44, -35, 0, -1, 3, 8]
[5, 1, 22, -24, 6, -5, -3, -3]
[18, 10, -11, 21, -11, -2, 2, 25]
[-5, -6, -5, 75, 3, 11, 3, 0]
[-1, -7, -5, -44, 4, -12, -12, -4]
[12, -3, -34, -17, -11, -3, 2, 0]
[14, -2, -9, -18, 4, 4, 2, -2]
[39, -5, -20, 49, -4, -3, 10, 15]
[30, -4, -14, -1, -2, 5, 1, 6]
[-23, 2, 6, 1, 1, -2, -1, -7]
[-7, 2, -4, 9, -1, 3, -3, 1]
[-9, -1, -3, 16, -6, 0, 1, -8]
[13, -1, 0, -9, -1, 10, 1, 3]
[-11, -2, -7, -4, -5, -3, 0, -1]
[-2, -1, -5, 1, 0, 2, -4, -1]
[-6, 0, 3, 13, 0, 0, -6, -3]
[-9, -1, -5, 6, 4, 3, 4, -1]
[-4, 0, 1, 5, -6, -2, 0, -1]
[0, -1, 5, 0, 2, 7, -1, -1]
[-8, 1, 10, -1, -8, -4, -1, -3]
[-5, 0, -7, 1, -6, -2, -1, 1]
[-1, -3, -4, 3, 1, 1, 7, 2]
[-3, -2, -5, -3, -9, 3, -5, -5]
[-1, -2, -8, 3, 4, -3, -2, 0]
[-3, 2, 0, 1, 1, 0, 1, -1]
[-1, -4, -29, 4, -18, -2, -3, 0]
[-2, 2, -1, 5, -3, -1, -1, 0]
[2, 0, -43, -8, -2, -4, -4, 0]
[-1, 1, 31, 9, -4, -1, -3, 0]
[-2, -2, 6, 10, 43, 7, 2, 1]
[1, 0, -5, 1, -11, -6, 0, 0]
[-1, 1, -6, -14, -10, 5, 0, -1]
[0, -7, 2, 6, -1, -9, -3, -3]
[0, 1, 28, -3, -6, -4, -1, 1]
[1, 2, 14, 2, 14, 3, 2, 0]
[-1, -2, 3, -7, -10, 0, -3, -4]
[1, 1, -26, 3, 72, 9, 2, 3]
[-1, 3, 22, -10, -30, -10, -4, -2]
[2, 5, -1, -2, -4, 0, 1, 3]
[-3, -8, -30, 2, 2, 1, -3, -2]
[2, 6, 19, 14, -1, 6, 0, 1]
[5, 11, 61, 26, -11, 0, 3, 2]
[-1, 15, -7, -66, 20, -9, -3, -1]
[4, 8, 39, -44, -8, 0, 3, 3]
[-1, -18, -17, 59, -3, -4, 4, 1]
[-9, -7, -18, 127, 4, 1, -7, -3]
[-4, -2, 14, 27, -14, -6, -8, -10]
[8, 24, 54, -82, -45, -24, -3, 0]
[4, -1, -48, -72, 38, 17, 11, 7]
[14, 16, -99, -89, -22, -9, -3, 0]
[23, -27, -41, 75, -2, -17, -8, 11]
[-12, -34, -87, -51, -32, -7, -12, -20]
[21, 18, 127, 61, 19, 26, 6, 5]
[-19, 19, 67, 59, -20, -16, 0, 3]
[14, 23, 10, -22, 0, 19, 11, -4]
[-33, -9, 9, 44, 5, 12, 4, -8]
[28, 6, -29, 117, -32, 10, 10, 12]
[4, -24, -53, 8, 17, -5, -4, 0]
[9, -2, 77, 22, 17, 15, 10, 6]
[-27, -13, -50, -46, -44, -5, -1, -2]
[-59, -2, -45, 34, -7, -6, 1, -8]
[13, 6, 10, -8, -8, -22, -18, -6]
[-3, 0, 14, 76, -14, 3, 1, -4]
[4, -1, 40, -17, 17, -6, -2, 2]
[-4, -9, -9, -53, -8, -1, -5, -14]
[4, 4, 4, -37, -7, -11, -9, -1]
[-39, -15, -30, -4, -2, -4, 3, -16]
[8, -5, 6, -30, -4, -1, -2, 6]
[17, -7, -6, -1, -5, 8, 5, 12]
[8, -2, 31, 63, 14, 4, 1, 5]
[4, 3, -1, -28, -4, 2, -2, 1]
[8, 2, 17, -19, 1, 3, -2, 2]
[9, -2, -6, -20, 9, -3, 4, -5]
[0, 2, 5, -6, 11, 9, 0, 3]
[0, 0, 3, -1, 0, -3, 4, 0]
[-4, 2, -2, 3, 5, 3, -1, -1]
[3, 0, 0, -14, 0, 0, 2, -1]
[8, -3, -4, -5, 1, -2, 4, -2]
[-13, -1, 0, -1, 3, -2, -1, -2]
[1, 0, 1, -2, -5, -3, -1, 0]
[-6, -4, -1, -2, -2, -6, -6, -1]
[-3, -3, 0, 1, -1, 3, -1, -7]
[7, -2, 0, -3, -2, 0, -6, 0]
[-8, -2, -1, -3, 1, 6, -1, 2]
[-1, 1, -3, 3, 8, 1, 4, -1]
[7, -2, 0, -3, -4, -6, 3, 5]
[1, 0, -1, -3, -1, 2, 2, 0]
[4, 1, -2, -2, -4, -5, -1, 1]
[-1, -1, 1, 0, 0, -1, -2, -1]
[-3, -2, -1, 0, 0, -3, -1, 0]
[2, -1, -3, -3, 0, 3, 6, -1]
[-3, 0, -2, 4, 5, -1, 0, -1]
[-1, 1, -2, -6, -9, 4, -1, 1]
[0, 0, -1, 0, 2, -3, -1, -2]
[-1, -1, -1, 0, 1, 4, 0, -1]
[-2, -2, 0, -4, -2, 0, 1, 1]
[-2, -1, -1, -1, -8, -1, -2, 0]
[-1, -1, -3, -4, 6, -1, -1, -2]
[-1, 0, -1, -6, 23, 11, 1, 1]
[1, 1, 1, -9, -7, -5, 0, 0]
[-1, -1, -1, 10, -9, -10, -2, -2]
[2, 0, -5, -17, -18, -2, -1, 1]
[-4, 3, -9, 29, 44, 0, -4, -6]
[0, -1, -3, -3, -12, -5, -1, -2]
[1, -2, 12, -34, -14, 0, -2, -2]
